region,year,respiratory_admissions,population,admission_rate_per_100k,PM2.5,NO2,O3
London,2015,132735,9000000,1474.84,12.75,31.59,42.82
North West,2015,116295,7300000,1593.09,10.96,26.94,42.86
Midlands,2015,165497,10800000,1532.38,11.59,30.51,41.21
East of England,2015,85321,6200000,1376.15,9.77,23.5,43.95
South East,2015,113922,9200000,1238.29,10.12,21.48,39.64
South West,2015,66544,5600000,1188.29,7.72,17.27,49.36
North East and Yorkshire,2015,131945,8100000,1628.96,9.35,20.54,50.38
London,2016,131995,9000000,1466.62,12.14,30.48,37.52
North West,2016,113334,7300000,1552.53,9.72,24.53,41.96
Midlands,2016,162499,10800000,1504.63,10.77,25.73,42.97
East of England,2016,77954,6200000,1257.33,9.01,26.23,46.45
South East,2016,111132,9200000,1207.96,9.27,24.82,42.43
South West,2016,66869,5600000,1194.1,7.94,15.94,44.1
North East and Yorkshire,2016,115917,8100000,1431.09,9.7,25.73,45.96
London,2017,118822,9000000,1320.25,11.94,29.25,37.65
North West,2017,111243,7300000,1523.89,9.43,22.66,49.02
Midlands,2017,151670,10800000,1404.36,10.54,22.82,45.16
East of England,2017,79156,6200000,1276.71,8.93,20.96,48.44
South East,2017,107373,9200000,1167.1,10.12,27.15,42.31
South West,2017,61229,5600000,1093.38,7.53,19.48,51.64
North East and Yorkshire,2017,127719,8100000,1576.78,9.17,22.55,42.93
London,2018,123611,9000000,1373.46,11.15,29.5,47.34
North West,2018,111790,7300000,1531.38,9.55,25.89,46.76
Midlands,2018,147016,10800000,1361.26,9.83,25.3,49.87
East of England,2018,75285,6200000,1214.28,8.91,25.41,38.77
South East,2018,110335,9200000,1199.3,9.81,24.7,44.39
South West,2018,60953,5600000,1088.45,7.57,14.94,47.99
North East and Yorkshire,2018,121421,8100000,1499.03,9.39,26.43,44.36
London,2019,119967,9000000,1332.97,11.1,26.74,46.1
North West,2019,108727,7300000,1489.42,9.55,22.81,47.22
Midlands,2019,149030,10800000,1379.91,9.98,26.9,42.92
East of England,2019,81506,6200000,1314.61,8.58,20.66,42.75
South East,2019,108037,9200000,1174.33,9.35,23.89,45.99
South West,2019,60206,5600000,1075.11,7.24,15.28,47.87
North East and Yorkshire,2019,121348,8100000,1498.13,8.84,20.51,46.25
London,2020,97111,9000000,1079.02,11.45,32.4,43.35
North West,2020,92596,7300000,1268.44,9.31,23.12,40.28
Midlands,2020,116790,10800000,1081.39,9.71,24.39,52.83
East of England,2020,59254,6200000,955.72,8.45,21.74,47.22
South East,2020,91324,9200000,992.66,8.42,23.32,49.63
South West,2020,54903,5600000,980.42,7.6,17.17,52.82
North East and Yorkshire,2020,99407,8100000,1227.26,8.12,21.47,54.39
London,2021,100421,9000000,1115.79,10.5,25.13,44.54
North West,2021,89245,7300000,1222.54,8.72,18.71,47.12
Midlands,2021,117322,10800000,1086.32,8.97,23.38,43.78
East of England,2021,60112,6200000,969.56,9.13,21.27,45.33
South East,2021,86833,9200000,943.84,9.21,20.56,46.87
South West,2021,54939,5600000,981.06,7.69,16.02,49.01
North East and Yorkshire,2021,98504,8100000,1216.11,8.75,23.45,43.16
London,2022,108863,9000000,1209.6,10.09,26.27,45.76
North West,2022,105718,7300000,1448.2,8.9,22.94,44.61
Midlands,2022,142910,10800000,1323.25,9.4,24.1,43.75
East of England,2022,70038,6200000,1129.65,9.1,23.7,42.77
South East,2022,105738,9200000,1149.33,8.93,20.37,48.97
South West,2022,63030,5600000,1125.55,7.46,17.01,51.7
North East and Yorkshire,2022,116138,8100000,1433.81,8.63,23.23,52.74
London,2023,111063,9000000,1234.04,10.38,24.44,41.77
North West,2023,101655,7300000,1392.54,8.16,20.25,48.78
Midlands,2023,144348,10800000,1336.56,9.21,24.68,46.22
East of England,2023,73952,6200000,1192.78,8.71,21.24,55.1
South East,2023,98995,9200000,1076.04,8.71,20.07,43.72
South West,2023,58616,5600000,1046.72,6.96,16.96,51.7
North East and Yorkshire,2023,106003,8100000,1308.68,8.47,21.03,44.76
