region,year,PM2.5,NO2,O3
London,2015,12.75,31.59,42.82
North West,2015,10.96,26.94,42.86
Midlands,2015,11.59,30.51,41.21
East of England,2015,9.77,23.5,43.95
South East,2015,10.12,21.48,39.64
South West,2015,7.72,17.27,49.36
North East and Yorkshire,2015,9.35,20.54,50.38
London,2016,12.14,30.48,37.52
North West,2016,9.72,24.53,41.96
Midlands,2016,10.77,25.73,42.97
East of England,2016,9.01,26.23,46.45
South East,2016,9.27,24.82,42.43
South West,2016,7.94,15.94,44.1
North East and Yorkshire,2016,9.7,25.73,45.96
London,2017,11.94,29.25,37.65
North West,2017,9.43,22.66,49.02
Midlands,2017,10.54,22.82,45.16
East of England,2017,8.93,20.96,48.44
South East,2017,10.12,27.15,42.31
South West,2017,7.53,19.48,51.64
North East and Yorkshire,2017,9.17,22.55,42.93
London,2018,11.15,29.5,47.34
North West,2018,9.55,25.89,46.76
Midlands,2018,9.83,25.3,49.87
East of England,2018,8.91,25.41,38.77
South East,2018,9.81,24.7,44.39
South West,2018,7.57,14.94,47.99
North East and Yorkshire,2018,9.39,26.43,44.36
London,2019,11.1,26.74,46.1
North West,2019,9.55,22.81,47.22
Midlands,2019,9.98,26.9,42.92
East of England,2019,8.58,20.66,42.75
South East,2019,9.35,23.89,45.99
South West,2019,7.24,15.28,47.87
North East and Yorkshire,2019,8.84,20.51,46.25
London,2020,11.45,32.4,43.35
North West,2020,9.31,23.12,40.28
Midlands,2020,9.71,24.39,52.83
East of England,2020,8.45,21.74,47.22
South East,2020,8.42,23.32,49.63
South West,2020,7.6,17.17,52.82
North East and Yorkshire,2020,8.12,21.47,54.39
London,2021,10.5,25.13,44.54
North West,2021,8.72,18.71,47.12
Midlands,2021,8.97,23.38,43.78
East of England,2021,9.13,21.27,45.33
South East,2021,9.21,20.56,46.87
South West,2021,7.69,16.02,49.01
North East and Yorkshire,2021,8.75,23.45,43.16
London,2022,10.09,26.27,45.76
North West,2022,8.9,22.94,44.61
Midlands,2022,9.4,24.1,43.75
East of England,2022,9.1,23.7,42.77
South East,2022,8.93,20.37,48.97
South West,2022,7.46,17.01,51.7
North East and Yorkshire,2022,8.63,23.23,52.74
London,2023,10.38,24.44,41.77
North West,2023,8.16,20.25,48.78
Midlands,2023,9.21,24.68,46.22
East of England,2023,8.71,21.24,55.1
South East,2023,8.71,20.07,43.72
South West,2023,6.96,16.96,51.7
North East and Yorkshire,2023,8.47,21.03,44.76
