region,year,respiratory_admissions,population,admission_rate_per_100k
London,2015,132735,9000000,1474.84
North West,2015,116295,7300000,1593.09
Midlands,2015,165497,10800000,1532.38
East of England,2015,85321,6200000,1376.15
South East,2015,113922,9200000,1238.29
South West,2015,66544,5600000,1188.29
North East and Yorkshire,2015,131945,8100000,1628.96
London,2016,131995,9000000,1466.62
North West,2016,113334,7300000,1552.53
Midlands,2016,162499,10800000,1504.63
East of England,2016,77954,6200000,1257.33
South East,2016,111132,9200000,1207.96
South West,2016,66869,5600000,1194.1
North East and Yorkshire,2016,115917,8100000,1431.09
London,2017,118822,9000000,1320.25
North West,2017,111243,7300000,1523.89
Midlands,2017,151670,10800000,1404.36
East of England,2017,79156,6200000,1276.71
South East,2017,107373,9200000,1167.1
South West,2017,61229,5600000,1093.38
North East and Yorkshire,2017,127719,8100000,1576.78
London,2018,123611,9000000,1373.46
North West,2018,111790,7300000,1531.38
Midlands,2018,147016,10800000,1361.26
East of England,2018,75285,6200000,1214.28
South East,2018,110335,9200000,1199.3
South West,2018,60953,5600000,1088.45
North East and Yorkshire,2018,121421,8100000,1499.03
London,2019,119967,9000000,1332.97
North West,2019,108727,7300000,1489.42
Midlands,2019,149030,10800000,1379.91
East of England,2019,81506,6200000,1314.61
South East,2019,108037,9200000,1174.33
South West,2019,60206,5600000,1075.11
North East and Yorkshire,2019,121348,8100000,1498.13
London,2020,97111,9000000,1079.02
North West,2020,92596,7300000,1268.44
Midlands,2020,116790,10800000,1081.39
East of England,2020,59254,6200000,955.72
South East,2020,91324,9200000,992.66
South West,2020,54903,5600000,980.42
North East and Yorkshire,2020,99407,8100000,1227.26
London,2021,100421,9000000,1115.79
North West,2021,89245,7300000,1222.54
Midlands,2021,117322,10800000,1086.32
East of England,2021,60112,6200000,969.56
South East,2021,86833,9200000,943.84
South West,2021,54939,5600000,981.06
North East and Yorkshire,2021,98504,8100000,1216.11
London,2022,108863,9000000,1209.6
North West,2022,105718,7300000,1448.2
Midlands,2022,142910,10800000,1323.25
East of England,2022,70038,6200000,1129.65
South East,2022,105738,9200000,1149.33
South West,2022,63030,5600000,1125.55
North East and Yorkshire,2022,116138,8100000,1433.81
London,2023,111063,9000000,1234.04
North West,2023,101655,7300000,1392.54
Midlands,2023,144348,10800000,1336.56
East of England,2023,73952,6200000,1192.78
South East,2023,98995,9200000,1076.04
South West,2023,58616,5600000,1046.72
North East and Yorkshire,2023,106003,8100000,1308.68
